CodigoFaculdade;NomeFaculdade;CodigoCurso;NomeCurso;Grau;TotalDesempregados;TotalDiplomados
0300;Universidade de Aveiro;1613;Línguas e Tradução Especializada;LICENCIATURA;1;14
0300;Universidade de Aveiro;1615;Meteorologia e Oceanografia Física;LICENCIATURA;1;26
0300;Universidade de Aveiro;1640;Línguas, Literaturas e Culturas;LICENCIATURA;4;19
0300;Universidade de Aveiro;1700;Química Industrial e Gestão;LICENCIATURA;1;71
0300;Universidade de Aveiro;1772;Tecnologias de Informação e Comunicação;LICENCIATURA;13;85
0300;Universidade de Aveiro;2855;Educadores de Infância;LICENCIATURA;3;168
0300;Universidade de Aveiro;2857;Professores do 1.º ciclo do Ensino Básico;LICENCIATURA;5;191
0300;Universidade de Aveiro;4011;Activação do Desenvolvimento Psicológico;MESTRADO;1;42
0300;Universidade de Aveiro;4044;Ciências e Engenharia de Materiais;MESTRADO;3;37
0300;Universidade de Aveiro;4078;Ciências da Educação;MESTRADO;5;25
0300;Universidade de Aveiro;4084;Ciências das Zonas Costeiras;MESTRADO;2;35
0300;Universidade de Aveiro;4117;Contabilidade e Auditoria;MESTRADO;1;26
0300;Universidade de Aveiro;4159;Economia de Empresa;MESTRADO;1;15
0300;Universidade de Aveiro;4198;Engenharia Electrónica e de Telecomunicações;MESTRADO;6;110
0300;Universidade de Aveiro;4210;Engenharia Mecânica;MESTRADO;4;28
0300;Universidade de Aveiro;4236;Engenharia dos Processos de Produção de Pasta para Papel;MESTRADO;1;5
0300;Universidade de Aveiro;4251;Comunicação e Educação em Ciências;MESTRADO;2;41
0300;Universidade de Aveiro;4267;Design, Materiais e Gestão do Produto;MESTRADO;1;24
0300;Universidade de Aveiro;4269;Ensino de Física;MESTRADO;1;13
0300;Universidade de Aveiro;4270;Ensino da Física e da Química;MESTRADO;1;29
0300;Universidade de Aveiro;4272;Ensino de Geologia e Biologia;MESTRADO;2;41
0300;Universidade de Aveiro;4274;Gestão Ambiental, Materiais e Valorização de Resíduos;MESTRADO;1;28
0300;Universidade de Aveiro;4297;Educação em Ciências no 1.º Ciclo do Ensino Básico;MESTRADO;1;43
0300;Universidade de Aveiro;4314;Estudos Chineses;MESTRADO;1;24
0300;Universidade de Aveiro;4331;Estudos Ingleses;MESTRADO;3;59
0300;Universidade de Aveiro;4334;Estudos Portugueses;MESTRADO;1;42
0300;Universidade de Aveiro;4397;Física Aplicada;MESTRADO;2;30
0300;Universidade de Aveiro;4453;Gestão Curricular;MESTRADO;1;50
0300;Universidade de Aveiro;4460;Gestão e Desenvolvimento em Turismo;MESTRADO;4;74
0300;Universidade de Aveiro;4491;Gestão da Informação;MESTRADO;2;71
0300;Universidade de Aveiro;4557;Inovação e Políticas de Desenvolvimento;MESTRADO;1;15
0300;Universidade de Aveiro;4626;Multimédia em Educação;MESTRADO;3;104
0300;Universidade de Aveiro;4660;Matemática;MESTRADO;5;78
0300;Universidade de Aveiro;4699;Microbiologia Molecular;MESTRADO;1;42
0300;Universidade de Aveiro;4707;Minerais e Rochas Industriais;MESTRADO;1;34
0300;Universidade de Aveiro;4725;Poluição Atmosférica;MESTRADO;1;17
0300;Universidade de Aveiro;4775;Química de Produtos Naturais e Alimentos;MESTRADO;2;22
0300;Universidade de Aveiro;4886;Toxicologia;MESTRADO;1;39
0300;Universidade de Aveiro;4921;Gestão da Inovação e do Conhecimento;MESTRADO;1;22
0300;Universidade de Aveiro;4970;Energia e Gestão do Ambiente;MESTRADO;1;12
0300;Universidade de Aveiro;5050;Biologia;DOUTORAMENTO;3;92
0300;Universidade de Aveiro;5063;Bioquímica;DOUTORAMENTO;1;16
0300;Universidade de Aveiro;5080;Ciência e Engenharia de Materiais;DOUTORAMENTO;1;34
0300;Universidade de Aveiro;5116;Ciências da Educação;DOUTORAMENTO;1;0
0300;Universidade de Aveiro;5140;Ciências da Educação;DOUTORAMENTO;1;41
0300;Universidade de Aveiro;5236;Didáctica;DOUTORAMENTO;2;58
0300;Universidade de Aveiro;5309;Biologia;DOUTORAMENTO;1;4
0300;Universidade de Aveiro;5360;Física;DOUTORAMENTO;1;52
0300;Universidade de Aveiro;5553;Ciências do Mar e do Ambiente;DOUTORAMENTO;1;0
0300;Universidade de Aveiro;5720;Química;DOUTORAMENTO;1;86
0300;Universidade de Aveiro;6005;Administração e Gestão Pública;MESTRADO;5;39
0300;Universidade de Aveiro;6063;Criação Artística Contemporânea;MESTRADO;2;28
0300;Universidade de Aveiro;6136;Geomateriais e Recursos Geológicos;MESTRADO;2;8
0300;Universidade de Aveiro;6137;Gerontologia;MESTRADO;2;65
0300;Universidade de Aveiro;6152;Gestão e Planeamento em Turismo;MESTRADO;4;40
0300;Universidade de Aveiro;6183;Línguas, Literaturas e Culturas;MESTRADO;2;38
0300;Universidade de Aveiro;6198;Música;MESTRADO;1;28
0300;Universidade de Aveiro;6242;Sistemas Energéticos Sustentáveis;MESTRADO;2;18
0300;Universidade de Aveiro;6408;Comunicação Multimédia;MESTRADO;4;87
0300;Universidade de Aveiro;6430;Tradução Especializada;MESTRADO;3;34
0300;Universidade de Aveiro;6432;Meteorologia e Oceanografia Física;MESTRADO;2;27
0300;Universidade de Aveiro;6434;Biomedicina Molecular;MESTRADO;2;10
0300;Universidade de Aveiro;6435;Línguas e Relações Empresariais;MESTRADO;4;37
0300;Universidade de Aveiro;6436;Ensino de Artes Visuais no 3.º Ciclo do Ensino Básico e Ensino Secundário;MESTRADO;7;34
0300;Universidade de Aveiro;6440;Estudos Editoriais;MESTRADO;4;30
0300;Universidade de Aveiro;6442;Engenharia de Automação Industrial;MESTRADO;1;3
0300;Universidade de Aveiro;6449;Ensino de Biologia e de Geologia no 3.º C do Ens Básico e no Ens Secundário;MESTRADO;1;7
0300;Universidade de Aveiro;6451;Ensino de Matemática no 3.º C. do Ensino Básico e no Secundário;MESTRADO;2;6
0300;Universidade de Aveiro;6452;Ensino de Física e Química no 3º C. do Ensino Básico e no Ensino Secundário;MESTRADO;2;4
0300;Universidade de Aveiro;6915;Educação Pré-Escolar e Ensino do 1.º Ciclo do Ensino Básico;MESTRADO;16;0
0300;Universidade de Aveiro;9002;Administração Pública;LICENCIATURA;35;175
0300;Universidade de Aveiro;9011;Biologia;LICENCIATURA;11;194
0300;Universidade de Aveiro;9012;Biologia e Geologia;LICENCIATURA;3;40
0300;Universidade de Aveiro;9015;Bioquímica;LICENCIATURA;8;133
0300;Universidade de Aveiro;9016;Biotecnologia;LICENCIATURA;3;75
0300;Universidade de Aveiro;9041;Ciências do Mar;LICENCIATURA;2;14
0300;Universidade de Aveiro;9069;Design;LICENCIATURA;28;197
0300;Universidade de Aveiro;9081;Economia;LICENCIATURA;31;237
0300;Universidade de Aveiro;9096;Engenharia de Materiais;LICENCIATURA;4;69
0300;Universidade de Aveiro;9099;Engenharia do Ambiente;LICENCIATURA;13;184
0300;Universidade de Aveiro;9104;Engenharia e Gestão Industrial;LICENCIATURA;9;294
0300;Universidade de Aveiro;9116;Engenharia Geológica;LICENCIATURA;1;38
0300;Universidade de Aveiro;9133;Estudos Clássicos;LICENCIATURA;1;4
0300;Universidade de Aveiro;9141;Física;LICENCIATURA;1;23
0300;Universidade de Aveiro;9147;Gestão;LICENCIATURA;25;171
0300;Universidade de Aveiro;9194;Línguas e Estudos Editoriais;LICENCIATURA;12;56
0300;Universidade de Aveiro;9196;Línguas e Relações Empresariais;LICENCIATURA;15;164
0300;Universidade de Aveiro;9204;Línguas, Literaturas e Culturas;LICENCIATURA;8;80
0300;Universidade de Aveiro;9209;Matemática;LICENCIATURA;3;55
0300;Universidade de Aveiro;9212;Meteorologia, Oceanografia e Geofísica;LICENCIATURA;4;38
0300;Universidade de Aveiro;9214;Música;LICENCIATURA;1;79
0300;Universidade de Aveiro;9215;Novas Tecnologias da Comunicação;LICENCIATURA;33;286
0300;Universidade de Aveiro;9219;Psicologia;LICENCIATURA;6;69
0300;Universidade de Aveiro;9223;Química;LICENCIATURA;4;44
0300;Universidade de Aveiro;9250;Tecnologias de Informação e Comunicação;LICENCIATURA;6;43
0300;Universidade de Aveiro;9252;Tradução;LICENCIATURA;13;94
0300;Universidade de Aveiro;9254;Turismo;LICENCIATURA;14;88
0300;Universidade de Aveiro;9266;Bioquímica e Química dos Alimentos;MESTRADO;3;15
0300;Universidade de Aveiro;9273;Ciências do Mar e das Zonas Costeiras;MESTRADO;1;9
0300;Universidade de Aveiro;9277;Design;MESTRADO;5;36
0300;Universidade de Aveiro;9280;Economia;MESTRADO;11;67
0300;Universidade de Aveiro;9295;Gestão;MESTRADO;9;72
0300;Universidade de Aveiro;9317;Microbiologia;MESTRADO;3;58
0300;Universidade de Aveiro;9327;Química Analítica e Controlo de Qualidade;MESTRADO;2;40
0300;Universidade de Aveiro;9328;Química Orgânica e Produtos Naturais;MESTRADO;2;15
0300;Universidade de Aveiro;9351;Ciências Biomédicas;LICENCIATURA;1;87
0300;Universidade de Aveiro;9360;Engenharia Civil;MESTRADO;24;46
0300;Universidade de Aveiro;9361;Engenharia de Computadores e Telemática;MESTRADO;1;130
0300;Universidade de Aveiro;9365;Engenharia Electrónica e Telecomunicações;MESTRADO;5;359
0300;Universidade de Aveiro;9368;Engenharia Física;MESTRADO;2;35
