CodigoUniversidade;NomeUniversidade;CodigoCurso;NomeCurso;Grau;CodigoArea;1ºEmp<6;1ºEmp6a12;1ºEmp>=12;NovoEmp<6;NovoEmp6a12;NovoEmp>=12;TotalDesempregados;TotalDiplomados
0400;Universidade da Beira Interior;0233;Engenharia Civil;LICENCIATURA;582;;;;19;11;22;52;675;
0400;Universidade da Beira Interior;0237;Engenharia Civil, variante de Planeamento e Urbanismo;LICENCIATURA;582;;;;1;;;1;32;
0400;Universidade da Beira Interior;0241;Engenharia Electromecânica;LICENCIATURA;522;;;;5;5;;10;312;
0400;Universidade da Beira Interior;0248;Engenharia Electrotécnica;LICENCIATURA;522;;;;2;;;2;40;
0400;Universidade da Beira Interior;0292;Engenharia Informática;LICENCIATURA;523;2;;;2;;;4;44;
0400;Universidade da Beira Interior;0304;Engenharia Mecânica;LICENCIATURA;521;;;;;;1;1;38;
0400;Universidade da Beira Interior;0323;Engenharia do Papel;LICENCIATURA;543;;;;4;2;1;7;93;
0400;Universidade da Beira Interior;0327;Engenharia da Produção e Gestão Industrial;LICENCIATURA;521;;;;3;5;13;21;283;
0400;Universidade da Beira Interior;0331;Engenharia Química;LICENCIATURA;524;;;;2;1;2;5;28;
0400;Universidade da Beira Interior;0344;Engenharia Têxtil;LICENCIATURA;542;;1;1;4;6;13;25;346;
0400;Universidade da Beira Interior;0360;Filosofia;LICENCIATURA;226;;;;;1;3;4;40;
0400;Universidade da Beira Interior;0375;Física (Ensino de);LICENCIATURA;145;;;;3;;4;7;108;
0400;Universidade da Beira Interior;0377;Física Aplicada;LICENCIATURA;441;;;;;;2;2;85;
0400;Universidade da Beira Interior;0383;Física e Química (Ensino de);LICENCIATURA;145;;;;6;;6;12;67;
0400;Universidade da Beira Interior;0416;Gestão;LICENCIATURA;345;;;1;16;15;19;51;1264;
0400;Universidade da Beira Interior;0480;Informática (Ensino de);LICENCIATURA;146;;;;8;;1;9;62;
0400;Universidade da Beira Interior;0521;Língua e Cultura Portuguesas (Ensino de);LICENCIATURA;145;;;;;;3;3;21;
0400;Universidade da Beira Interior;0560;Matemática (Ensino de);LICENCIATURA;145;;;;17;4;25;46;392;
0400;Universidade da Beira Interior;0562;Marketing;LICENCIATURA;342;;;;3;3;1;7;61;
0400;Universidade da Beira Interior;0574;Matemática/Informática;LICENCIATURA;461;;;;3;2;8;13;285;
0400;Universidade da Beira Interior;0695;Psicologia;LICENCIATURA;311;;;1;10;1;4;16;139;
0400;Universidade da Beira Interior;0714;Química Industrial;LICENCIATURA;524;;;1;5;4;10;20;278;
0400;Universidade da Beira Interior;0759;Sociologia;LICENCIATURA;312;;;2;13;11;27;53;565;
0400;Universidade da Beira Interior;1068;Cinema;LICENCIATURA;213;;;;2;1;;3;21;
0400;Universidade da Beira Interior;1151;Design Multimédia;LICENCIATURA;214;;;;2;3;2;7;89;
0400;Universidade da Beira Interior;1153;Design Têxtil e do Vestuário;LICENCIATURA;214;;;;2;;1;3;59;
0400;Universidade da Beira Interior;1537;Português e Espanhol;LICENCIATURA;222;;;;3;1;1;5;39;
0400;Universidade da Beira Interior;1581;Português e Inglês;LICENCIATURA;222;;;;1;1;2;4;15;
0400;Universidade da Beira Interior;1607;Língua e Cultura Portuguesas;LICENCIATURA;223;;;;7;5;13;25;152;
